underlying,ts,bid,ask,spot,runbet_spot
frxAUDJPY,2014-04-29 16:19:57,95.019,95.038,95.029,95.029
frxAUDJPY,2014-04-29 16:19:58,95.021,95.037,95.029,95.029
frxAUDJPY,2014-04-29 16:20:00,95.021,95.038,95.029,95.029
frxAUDJPY,2014-04-29 16:20:01,95.022,95.036,95.029,95.029
frxAUDJPY,2014-04-29 16:20:02,95.023,95.037,95.025,95.025
frxAUDJPY,2014-04-29 16:20:03,95.023,95.038,95.03,95.03
frxAUDJPY,2014-04-29 16:20:04,95.016,95.047,95.03,95.03
frxAUDJPY,2014-04-29 16:20:05,95.022,95.037,95.029,95.029
frxAUDJPY,2014-04-29 16:20:06,95.019,95.041,95.029,95.029
frxAUDJPY,2014-04-29 16:20:07,95.027,95.036,95.03,95.03
frxAUDJPY,2014-04-29 16:20:08,95.029,95.045,95.036,95.036
frxAUDJPY,2014-04-29 16:20:09,95.037,95.047,95.041,95.041
frxAUDJPY,2014-04-29 16:20:10,95.035,95.048,95.041,95.041
frxAUDJPY,2014-04-29 16:20:11,95.029,95.049,95.04,95.04
frxAUDJPY,2014-04-29 16:20:12,95.033,95.049,95.041,95.041
frxAUDJPY,2014-04-29 16:20:13,95,95.1,95.046,95.046
frxAUDJPY,2014-04-29 16:20:14,95.023,95.058,95.04,95.04
frxAUDJPY,2014-04-29 16:20:15,95.028,95.055,95.041,95.041
frxAUDJPY,2014-04-29 16:20:16,95.016,95.066,95.04,95.04
frxAUDJPY,2014-04-29 16:20:17,95.034,95.048,95.04,95.04
frxAUDJPY,2014-04-29 16:20:18,95.029,95.049,95.039,95.039
frxAUDJPY,2014-04-29 16:20:19,95.033,95.048,95.04,95.04
frxAUDJPY,2014-04-29 16:20:21,95.028,95.055,95.04,95.04
frxAUDJPY,2014-04-29 16:20:22,95.032,95.047,95.039,95.039
frxAUDJPY,2014-04-29 16:20:23,95.032,95.047,95.039,95.039
frxAUDJPY,2014-04-29 16:20:24,95.033,95.048,95.04,95.04
frxAUDJPY,2014-04-29 16:20:25,95.033,95.047,95.04,95.04
frxAUDJPY,2014-04-29 16:20:26,95.031,95.046,95.039,95.039
frxAUDJPY,2014-04-29 16:20:27,95.031,95.045,95.037,95.037
frxAUDJPY,2014-04-29 16:20:28,95.031,95.048,95.039,95.039
frxAUDJPY,2014-04-29 16:20:29,95.027,95.053,95.039,95.039
frxAUDJPY,2014-04-29 16:20:31,95.032,95.047,95.039,95.039
frxAUDJPY,2014-04-29 16:20:32,95.035,95.045,95.039,95.039
frxAUDJPY,2014-04-29 16:20:34,95.021,95.055,95.037,95.037
frxAUDJPY,2014-04-29 16:20:35,95.032,95.046,95.038,95.038
frxAUDJPY,2014-04-29 16:20:36,95.014,95.064,95.038,95.038
